ninis-deli-chicago,Nini's Deli,543 N Noble St, Chicago, IL 60642,461,5.0,delis
d-agostinos-pizza-and-pub-chicago-3,D'Agostino's Pizza and Pub,752 N Ogden Ave, Chicago, IL 60642,206,3.0,pizza
five-star-bar-chicago,Five Star Bar,1424 W Chicago Ave, Chicago, IL 60642,360,3.5,bars
china-court-chicago,China Court,1146 N Milwaukee Ave, Chicago, IL 60642,106,3.5,chinese
epic-burger-chicago-2,Epic Burger,1000 W North Ave, Chicago, IL 60642,353,3.5,burgers
iguana-café-chicago-2,Iguana Café,517 N Halsted St, Chicago, IL 60642,648,4.0,creperies
estate-chicago-5,Estate,1177 N Elston Ave, Chicago, IL 60642,160,3.0,lounges
arts-drive-in-chicago,Art's Drive In,1333 W North Ave, Chicago, IL 60642,30,4.0,diners
fiore-delicatessen-chicago,Fiore Delicatessen,2258 W Erie St, Chicago, IL 60612,135,4.5,grocery
the-corner-farmacy-chicago,The Corner Farmacy,324 N Leavitt, Chicago, IL 60612,49,4.5,foodtrucks
ej-sushi-chicago-2,EJ Sushi,1406 W Grand Ave, Chicago, IL 60642,82,4.0,sushi
the-breakfast-club-and-grill-chicago,The Breakfast Club and Grill,1381 W Hubbard St, Chicago, IL 60642,373,3.5,breakfast_brunch
pot-pan-chicago-3,Pot Pan,1362 N Milwaukee Ave, Chicago, IL 60642,355,3.5,thai
mr-browns-lounge-chicago,Mr Brown's Lounge,2301 W Chicago Ave, Chicago, IL 60612,319,3.5,caribbean
italian-pizza-kitchen-chicago-chicago-2,Italian Pizza Kitchen - Chicago,1433 N Dayton Dr, Chicago, IL 60642,47,3.5,pizza
mahoneys-pub-and-grille-chicago,Mahoney's Pub and Grille,551 N Ogden Ave, Chicago, IL 60642,151,3.0,sportsbars
awake-cafe-chicago-2,Awake Cafe,1357 1357 W Chicago Ave, Chicago, IL 60642,39,3.5,coffee
hound-dogs-burgers-and-teriyaki-chicago-2,Hound Dogs Burgers & Teriyaki,2257 W Grand Ave, Chicago, IL 60612,23,3.5,burgers
burger-baron-restaurant-chicago,Burger Baron Restaurant,1381 W Grand Ave, Chicago, IL 60642,118,3.0,burgers
cafe-blue-chicago-5,Cafe Blue,811 W Chicago Ave, Chicago, IL 60642,17,3.5,cafes
bacci-pizzeria-chicago-15,Bacci Pizzeria,162 North Franklin St, Chicago, IL 60612,38,2.5,pizza
jimmy-johns-chicago-41,Jimmy John's,520 N Ogden, Chicago, IL 60642,27,2.5,sandwiches
taco-boy-chicago,Taco Boy,1234 N Halsted St, Chicago, IL 60642,2,4.5,mexican
jimmy-johns-chicago-66,Jimmy John's,1431 N Kingsbury St, Chicago, IL 60642,8,3.0,sandwiches
taquero-fusion-chicago-3,Taquero Fusion,324 N Leavitt St, Chicago, IL 60612,48,3.0,catering
tamale-space-charros-chicago,Tamale Space Charros,324 N Leavitt St, Chicago, IL 60612,2,4.0,mexican
dinner-with-dale-levitski-at-relax-lounge-chicago,Dinner with Dale Levitski at Relax Lounge,1450 W Chicago Ave, Chicago, IL 60642,1,5.0,restaurants
chicago-philly-stop-chicago,Chicago Philly Stop,1600 W Lake St, Chicago, IL 60612,3,2.0,pizza
burger-king-chicago-67,Burger King,1213 N Milwaukee Ave, Chicago, IL 60642,6,2.5,hotdogs
soylent-fuchsia-chicago,Soylent Fuchsia,324 N Leavitt St, Chicago, IL 60612,1,5.0,newamerican
